metric,value
,==== FINAL COLLISION REPORT =====
time,11.17500000
initial momentum,"(0.00000000, 0.00000000)"
final momentum,"(0.00000000, 0.00000000)"
momentum error mag,0.00000000e+00
initial |p| sum,0.20000000
final |p| sum,0.20000000
|p| sum error,-1.44556866e-11
internal |p| sum,0.00000000
scalar |p|+internal,0.20000000
scalar total error,-1.44556866e-11
initial KE,0.01000000
final KE,0.01000000
KE error,-1.44557109e-12
max area in,0.69554111
max area out,0.69554101
max area diff,9.52132896e-08
max J in,3.47770554e-05
max J out,3.47770506e-05
max J diff,4.76066448e-12
max raw p drift,0.00000000e+00
max replay mismatch,0.00000000e+00
active contacts,0
particle 00 init pos,"(1.10000000, 0.00000000)"
particle 00 pos,"(0.91924300, -0.24392456)"
particle 00 vel,"(0.08496831, -0.05272937)"
particle 00 mom,"(0.08496831, -0.05272937)"
particle 01 init pos,"(-1.10000000, 0.30000000)"
particle 01 pos,"(-0.91924300, 0.54392456)"
particle 01 vel,"(-0.08496831, 0.05272937)"
particle 01 mom,"(-0.08496831, 0.05272937)"
field samples in,5033
field samples out,5032
sum area in,1926.73733716
sum area out,1926.73733716
sum area*time in,1.92673734
sum area*time out,1.92673734
sum J in,9.63368669e-02
sum J out,9.63368669e-02
sum turn area,0.23337841
max turn area,0.00003376
max turn sweep,0.00003400
particle 00 area_in/out/diff,"(1926.73733716, 1926.73733716, 0.00000000)"
particle 00 samples_in/out,"(5033, 5032)"
particle 00 avg_area_in/out,"(0.38282085, 0.38289693)"
particle 01 area_in/out/diff,"(1926.73733716, 1926.73733716, 0.00000000)"
particle 01 samples_in/out,"(5033, 5032)"
particle 01 avg_area_in/out,"(0.38282085, 0.38289693)"
,=================================
