metric,value
,==== FINAL COLLISION REPORT =====
time,12.39000000
initial momentum,"(0.00000000, 0.00000000)"
final momentum,"(0.00000000, 0.00000000)"
momentum error mag,0.00000000e+00
initial |p| sum,0.20000000
final |p| sum,0.19999839
|p| sum error,-1.61048531e-06
internal |p| sum,0.00000000
scalar |p|+internal,0.19999839
scalar total error,-1.61048531e-06
initial KE,0.01000000
final KE,0.00999984
KE error,-1.61047882e-07
max area in,0.36295257
max area out,0.36295257
max area diff,1.94725702e-09
max J in,1.81476286e-05
max J out,1.81476287e-05
max J diff,9.73628493e-14
max raw p drift,0.00000000e+00
max replay mismatch,0.00000000e+00
active contacts,0
particle 00 init pos,"(1.10000000, 0.00000000)"
particle 00 pos,"(0.06624281, -0.34784914)"
particle 00 vel,"(-0.05982040, -0.08013338)"
particle 00 mom,"(-0.05982040, -0.08013338)"
particle 01 init pos,"(-1.10000000, 1.30000000)"
particle 01 pos,"(-0.06624281, 1.64784914)"
particle 01 vel,"(0.05982040, 0.08013338)"
particle 01 mom,"(0.05982040, 0.08013338)"
field samples in,4496
field samples out,4443
sum area in,910.18481039
sum area out,910.18481039
sum area*time in,0.91018481
sum area*time out,0.91018481
sum J in,4.55092405e-02
sum J out,4.55092405e-02
sum turn area,0.66619947
max turn area,0.00010250
max turn sweep,0.00010541
particle 00 area_in/out/diff,"(910.18481039, 910.18481039, 0.00000000)"
particle 00 samples_in/out,"(4496, 4443)"
particle 00 avg_area_in/out,"(0.20244324, 0.20485816)"
particle 01 area_in/out/diff,"(910.18481039, 910.18481039, 0.00000000)"
particle 01 samples_in/out,"(4496, 4443)"
particle 01 avg_area_in/out,"(0.20244324, 0.20485816)"
,=================================
