metric,value
,==== FINAL COLLISION REPORT =====
time,11.78000000
initial momentum,"(0.00000000, 0.00000000)"
final momentum,"(0.00000000, 0.00000000)"
momentum error mag,0.00000000e+00
initial |p| sum,0.20000000
final |p| sum,0.20000000
|p| sum error,2.44318454e-12
internal |p| sum,0.00000000
scalar |p|+internal,0.20000000
scalar total error,2.44318454e-12
initial KE,0.01000000
final KE,0.01000000
KE error,2.44316720e-13
max area in,0.49685696
max area out,0.49685691
max area diff,5.62609033e-08
max J in,2.48428481e-05
max J out,2.48428453e-05
max J diff,2.81304516e-12
max raw p drift,0.00000000e+00
max replay mismatch,0.00000000e+00
active contacts,0
particle 00 init pos,"(1.10000000, 0.00000000)"
particle 00 pos,"(0.33914915, -0.44073945)"
particle 00 vel,"(-0.01766532, -0.09842732)"
particle 00 mom,"(-0.01766532, -0.09842732)"
particle 01 init pos,"(-1.10000000, 1.00000000)"
particle 01 pos,"(-0.33914915, 1.44073945)"
particle 01 vel,"(0.01766532, 0.09842732)"
particle 01 mom,"(0.01766532, 0.09842732)"
field samples in,4723
field samples out,4721
sum area in,1299.20647692
sum area out,1299.20647692
sum area*time in,1.29920648
sum area*time out,1.29920648
sum J in,6.49603238e-02
sum J out,6.49603238e-02
sum turn area,0.61875750
max turn area,0.00009259
max turn sweep,0.00009287
particle 00 area_in/out/diff,"(1299.20647692, 1299.20647692, 0.00000000)"
particle 00 samples_in/out,"(4723, 4721)"
particle 00 avg_area_in/out,"(0.27508077, 0.27519731)"
particle 01 area_in/out/diff,"(1299.20647692, 1299.20647692, 0.00000000)"
particle 01 samples_in/out,"(4723, 4721)"
particle 01 avg_area_in/out,"(0.27508077, 0.27519731)"
,=================================
