frame_index,time,frame_dt,substeps,sub_dt,simulation_wall_ms,active_contact_count,pair_contact_count,wall_contact_count,bond_contact_count,collision_complete,frame_wall_ms,render_wall_ms
0,0.005,0.005,5,0.001,0.05140015855431557,0,0,0,0,0,14.030099846422672,13.978699687868357
1,0.01,0.005,5,0.001,0.05110003985464573,0,0,0,0,0,15.097999945282936,15.04689990542829
2,0.015,0.005,5,0.001,0.05019991658627987,0,0,0,0,0,16.278699971735477,16.228500055149198
3,0.02,0.005,5,0.001,0.05430006422102451,0,0,0,0,0,16.880600014701486,16.82629995048046
4,0.025,0.005,5,0.001,0.05160016007721424,0,0,0,0,0,16.64920011535287,16.597599955275655
5,0.030000000000000002,0.005,5,0.001,0.055900076404213905,0,0,0,0,0,17.389300046488643,17.33339997008443
6,0.035,0.005,5,0.001,0.052900053560733795,0,0,0,0,0,17.324900021776557,17.271999968215823
7,0.04,0.005,5,0.001,0.04879990592598915,0,0,0,0,0,16.451899893581867,16.403099987655878
8,0.045,0.005,5,0.001,0.04249997437000275,0,0,0,0,0,16.918899957090616,16.876399982720613
9,0.049999999999999996,0.005,5,0.001,0.04810001701116562,0,0,0,0,0,16.124899964779615,16.07679994776845
10,0.05499999999999999,0.005,5,0.001,0.09320001117885113,0,0,0,0,0,17.193500185385346,17.100300174206495
11,0.05999999999999999,0.005,5,0.001,0.0591999851167202,0,0,0,0,0,17.006900161504745,16.947700176388025
12,0.06499999999999999,0.005,5,0.001,0.04059984348714352,0,0,0,0,0,16.448399983346462,16.40780013985932
13,0.06999999999999999,0.005,5,0.001,0.043999869376420975,0,0,0,0,0,17.117299837991595,17.073299968615174
14,0.075,0.005,5,0.001,0.05730008706450462,0,0,0,0,0,16.553999856114388,16.496699769049883
15,0.08,0.005,5,0.001,0.08570007048547268,0,0,0,0,0,16.75110007636249,16.665400005877018
16,0.085,0.005,5,0.001,0.04710000939667225,0,0,0,0,0,16.621899791061878,16.574799781665206
17,0.09000000000000001,0.005,5,0.001,0.04940014332532883,0,0,0,0,0,15.890900045633316,15.841499902307987
18,0.09500000000000001,0.005,5,0.001,0.044899992644786835,0,0,0,0,0,16.787200001999736,16.74230000935495
19,0.10000000000000002,0.005,5,0.001,0.04069996066391468,0,0,0,0,0,16.681599896401167,16.640899935737252
20,0.10500000000000002,0.005,5,0.001,0.04219985567033291,0,0,0,0,0,16.40999992378056,16.367800068110228
21,0.11000000000000003,0.005,5,0.001,0.059900106862187386,0,0,0,0,0,17.508700024336576,17.44879991747439
22,0.11500000000000003,0.005,5,0.001,0.05589984357357025,0,0,0,0,0,15.701599884778261,15.645700041204691
23,0.12000000000000004,0.005,5,0.001,0.05229981616139412,0,0,0,0,0,16.194599913433194,16.1423000972718
24,0.12500000000000003,0.005,5,0.001,0.04639988765120506,0,0,0,0,0,15.994900139048696,15.94850025139749
25,0.13000000000000003,0.005,5,0.001,0.04679989069700241,0,0,0,0,0,16.061200061812997,16.014400171115994
26,0.13500000000000004,0.005,5,0.001,0.043899985030293465,0,0,0,0,0,16.80180011317134,16.757900128141046
27,0.14000000000000004,0.005,5,0.001,0.03969995304942131,0,0,0,0,0,16.497300006449223,16.4576000533998
28,0.14500000000000005,0.005,5,0.001,0.040800077840685844,0,0,0,0,0,16.904900083318353,16.864100005477667
29,0.15000000000000005,0.005,5,0.001,0.05179992876946926,0,0,0,0,0,16.52350020594895,16.47170027717948
30,0.15500000000000005,0.005,5,0.001,0.039999838918447495,0,0,0,0,0,16.548800049349666,16.508800210431218
31,0.16000000000000006,0.005,5,0.001,0.057999975979328156,0,0,0,0,0,16.689300071448088,16.63130009546876
32,0.16500000000000006,0.005,5,0.001,0.05659996531903744,0,0,0,0,0,16.904599964618683,16.847999999299645
33,0.17000000000000007,0.005,5,0.001,0.054999953135848045,0,0,0,0,0,16.748399939388037,16.69339998625219
34,0.17500000000000007,0.005,5,0.001,0.05639996379613876,0,0,0,0,0,16.635100124403834,16.578700160607696
35,0.18000000000000008,0.005,5,0.001,0.06019999273121357,0,0,0,0,0,16.713300021365285,16.65310002863407
36,0.18500000000000008,0.005,5,0.001,0.06360001862049103,0,0,0,0,0,14.839400071650743,14.775800053030252
37,0.19000000000000009,0.005,5,0.001,0.04920014180243015,0,0,0,0,0,16.449900111183524,16.400699969381094
38,0.1950000000000001,0.005,5,0.001,0.03969995304942131,0,0,0,0,0,16.698800027370453,16.65910007432103
39,0.2000000000000001,0.005,5,0.001,0.05020014941692352,0,0,0,0,0,16.947300173342228,16.897100023925304
40,0.2050000000000001,0.005,5,0.001,0.037400051951408386,0,0,0,0,0,18.26939987950027,18.23199982754886
41,0.2100000000000001,0.005,5,0.001,0.03860006108880043,0,0,0,0,0,16.730000032112002,16.691399971023202
42,0.2150000000000001,0.005,5,0.001,0.038599828258156776,0,0,0,0,0,16.36889996007085,16.33030013181269
43,0.2200000000000001,0.005,5,0.001,0.05430006422102451,0,0,0,0,0,17.77909998781979,17.724799923598766
44,0.22500000000000012,0.005,5,0.001,0.05119992420077324,0,0,0,0,0,15.910799847915769,15.859599923714995
45,0.23000000000000012,0.005,5,0.001,0.04970002919435501,0,0,0,0,0,16.47359994240105,16.423899913206697
46,0.23500000000000013,0.005,5,0.001,0.04519987851381302,0,0,0,0,0,17.20399991609156,17.15880003757775
47,0.24000000000000013,0.005,5,0.001,0.04630000330507755,0,0,0,0,0,16.30060002207756,16.254300018772483
48,0.24500000000000013,0.005,5,0.001,0.0442001037299633,0,0,0,0,0,16.479399986565113,16.43519988283515
49,0.2500000000000001,0.005,5,0.001,0.04679989069700241,0,0,0,0,0,17.137600108981133,17.09080021828413
50,0.2550000000000001,0.005,5,0.001,0.041899969801306725,0,0,0,0,0,16.225700033828616,16.18380006402731
51,0.2600000000000001,0.005,5,0.001,0.07519987411797047,0,0,0,0,0,16.29170007072389,16.21650019660592
