frame_index,time,frame_dt,substeps,sub_dt,simulation_wall_ms,active_contact_count,pair_contact_count,wall_contact_count,bond_contact_count,collision_complete,frame_wall_ms,render_wall_ms
0,0.005,0.005,5,0.001,0.04449998959898949,0,0,0,0,0,18.887100042775273,18.842600053176284
1,0.01,0.005,5,0.001,0.04329998046159744,0,0,0,0,0,14.57200013101101,14.528700150549412
2,0.015,0.005,5,0.001,0.050800153985619545,0,0,0,0,0,16.54090010561049,16.49009995162487
3,0.02,0.005,5,0.001,0.047900015488266945,0,0,0,0,0,16.36580005288124,16.317900037392974
4,0.025,0.005,5,0.001,0.0412999652326107,0,0,0,0,0,15.83140017464757,15.790100209414959
5,0.030000000000000002,0.005,5,0.001,0.041499966755509377,0,0,0,0,0,16.51119999587536,16.46970002911985
6,0.035,0.005,5,0.001,0.04069996066391468,0,0,0,0,0,15.873600030317903,15.832900069653988
7,0.04,0.005,5,0.001,0.05030003376305103,0,0,0,0,0,18.236800096929073,18.186500063166022
8,0.045,0.005,5,0.001,0.05279993638396263,0,0,0,0,0,16.27540006302297,16.22260012663901
9,0.049999999999999996,0.005,5,0.001,0.04730001091957092,0,0,0,0,0,17.171500017866492,17.12420000694692
10,0.05499999999999999,0.005,5,0.001,0.05179992876946926,0,0,0,0,0,15.190200181677938,15.138400252908468
11,0.05999999999999999,0.005,5,0.001,0.05269981920719147,0,0,0,0,0,17.047900008037686,16.995200188830495
12,0.06499999999999999,0.005,5,0.001,0.039400067180395126,0,0,0,0,0,16.26980002038181,16.230399953201413
13,0.06999999999999999,0.005,5,0.001,0.045800115913152695,0,0,0,0,0,16.715100035071373,16.66929991915822
14,0.075,0.005,5,0.001,0.04650000482797623,0,0,0,0,0,17.180199967697263,17.133699962869287
15,0.08,0.005,5,0.001,0.04440010525286198,0,0,0,0,0,16.6098999325186,16.56549982726574
16,0.085,0.005,5,0.001,0.055999960750341415,0,0,0,0,0,15.274500008672476,15.218500047922134
17,0.09000000000000001,0.005,5,0.001,0.04229997284710407,0,0,0,0,0,16.249099979177117,16.206800006330013
18,0.09500000000000001,0.005,5,0.001,0.059399986639618874,0,0,0,0,0,17.518999986350536,17.459599999710917
19,0.10000000000000002,0.005,5,0.001,0.05370005965232849,0,0,0,0,0,16.151800053194165,16.098099993541837
20,0.10500000000000002,0.005,5,0.001,0.04469999112188816,0,0,0,0,0,15.84709994494915,15.802399953827262
21,0.11000000000000003,0.005,5,0.001,0.04830001853406429,0,0,0,0,0,15.757499961182475,15.70919994264841
22,0.11500000000000003,0.005,5,0.001,0.05120015703141689,0,0,0,0,0,16.867600148543715,16.8163999915123
23,0.12000000000000004,0.005,5,0.001,0.04850002005696297,0,0,0,0,0,17.15710014104843,17.10860012099147
24,0.12500000000000003,0.005,5,0.001,0.04169996827840805,0,0,0,0,0,15.814400045201182,15.772700076922774
25,0.13000000000000003,0.005,5,0.001,0.0442001037299633,0,0,0,0,0,17.18990015797317,17.145700054243207
26,0.13500000000000004,0.005,5,0.001,0.05310005508363247,0,0,0,0,0,15.919399913400412,15.86629985831678
27,0.14000000000000004,0.005,5,0.001,0.047900015488266945,0,0,0,0,0,17.07860012538731,17.030700109899044
28,0.14500000000000005,0.005,5,0.001,0.04950002767145634,0,0,0,0,0,16.625700052827597,16.57620002515614
29,0.15000000000000005,0.005,5,0.001,0.04620011895895004,0,0,0,0,0,16.474799951538444,16.428599832579494
30,0.15500000000000005,0.005,5,0.001,0.045900000259280205,0,0,0,0,0,15.293000033125281,15.247100032866001
31,0.16000000000000006,0.005,5,0.001,0.05319993942975998,0,0,0,0,0,16.353500075638294,16.300300136208534
32,0.16500000000000006,0.005,5,0.001,0.06469991058111191,0,0,0,0,0,17.146699829027057,17.081999918445945
33,0.17000000000000007,0.005,5,0.001,0.0513000413775444,0,0,0,0,0,16.823000041767955,16.77170000039041
34,0.17500000000000007,0.005,5,0.001,0.05410006269812584,0,0,0,0,0,16.725399997085333,16.671299934387207
35,0.18000000000000008,0.005,5,0.001,0.039800070226192474,0,0,0,0,0,15.978400129824877,15.938600059598684
36,0.18500000000000008,0.005,5,0.001,0.034700147807598114,0,0,0,0,0,16.436100006103516,16.401399858295918
37,0.19000000000000009,0.005,5,0.001,0.060499878600239754,0,0,0,0,0,19.278999883681536,19.218500005081296
38,0.1950000000000001,0.005,5,0.001,0.05020014941692352,0,0,0,0,0,14.77429992519319,14.724099775776267
39,0.2000000000000001,0.005,5,0.001,0.04950002767145634,0,0,0,0,0,17.049399903044105,16.99989987537265
40,0.2050000000000001,0.005,5,0.001,0.04279986023902893,0,0,0,0,0,15.606399858370423,15.563599998131394
41,0.2100000000000001,0.005,5,0.001,0.04360009916126728,0,0,0,0,0,16.88900007866323,16.845399979501963
42,0.2150000000000001,0.005,5,0.001,0.0654000323265791,0,0,0,0,0,17.44399988092482,17.378599848598242
43,0.2200000000000001,0.005,5,0.001,0.06620003841817379,0,0,0,0,0,16.558400122448802,16.492200084030628
44,0.22500000000000012,0.005,5,0.001,0.04889979027211666,0,0,0,0,0,16.337899956852198,16.28900016658008
45,0.23000000000000012,0.005,5,0.001,0.045900000259280205,0,0,0,0,0,16.402000095695257,16.356100095435977
46,0.23500000000000013,0.005,5,0.001,0.04400010220706463,0,0,0,0,0,16.55679987743497,16.512799775227904
47,0.24000000000000013,0.005,5,0.001,0.0475000124424696,0,0,0,0,0,16.834199894219637,16.786699881777167
48,0.24500000000000013,0.005,5,0.001,0.05550007335841656,0,0,0,0,0,16.862999880686402,16.807499807327986
49,0.2500000000000001,0.005,5,0.001,0.044800108298659325,0,0,0,0,0,15.468799974769354,15.423999866470695
50,0.2550000000000001,0.005,5,0.001,0.042899977415800095,0,0,0,0,0,15.570000046864152,15.527100069448352
51,0.2600000000000001,0.005,5,0.001,0.04249997437000275,0,0,0,0,0,16.86860015615821,16.826100181788206
52,0.2650000000000001,0.005,5,0.001,0.05219993181526661,0,0,0,0,0,16.978200059384108,16.92600012756884
53,0.27000000000000013,0.005,5,0.001,0.0575000885874033,0,0,0,0,0,16.000800067558885,15.943299978971481
54,0.27500000000000013,0.005,5,0.001,0.05319993942975998,0,0,0,0,0,15.805100090801716,15.751900151371956
55,0.28000000000000014,0.005,5,0.001,0.0467000063508749,0,0,0,0,0,16.555799869820476,16.5090998634696
