metric,value
,==== FINAL COLLISION REPORT =====
time,11.63500000
initial momentum,"(0.00000000, 0.00000000)"
final momentum,"(0.00000000, 0.00000000)"
momentum error mag,0.00000000e+00
initial |p| sum,0.20000000
final |p| sum,0.20000000
|p| sum error,9.61433710e-12
internal |p| sum,0.00000000
scalar |p|+internal,0.20000000
scalar total error,9.61433710e-12
initial KE,0.01000000
final KE,0.01000000
KE error,9.61434057e-13
max area in,0.53584138
max area out,0.53584131
max area diff,7.11842402e-08
max J in,2.67920689e-05
max J out,2.67920654e-05
max J diff,3.55921201e-12
max raw p drift,0.00000000e+00
max replay mismatch,0.00000000e+00
active contacts,0
particle 00 init pos,"(1.10000000, 0.00000000)"
particle 00 pos,"(0.43397651, -0.45095441)"
particle 00 vel,"(-0.00178619, -0.09998405)"
particle 00 mom,"(-0.00178619, -0.09998405)"
particle 01 init pos,"(-1.10000000, 0.90000000)"
particle 01 pos,"(-0.43397651, 1.35095441)"
particle 01 vel,"(0.00178619, 0.09998405)"
particle 01 mom,"(0.00178619, 0.09998405)"
field samples in,4784
field samples out,4782
sum area in,1416.95600270
sum area out,1416.95600270
sum area*time in,1.41695600
sum area*time out,1.41695600
sum J in,7.08478001e-02
sum J out,7.08478001e-02
sum turn area,0.58438764
max turn area,0.00008685
max turn sweep,0.00008691
particle 00 area_in/out/diff,"(1416.95600270, 1416.95600270, 0.00000000)"
particle 00 samples_in/out,"(4784, 4782)"
particle 00 avg_area_in/out,"(0.29618646, 0.29631033)"
particle 01 area_in/out/diff,"(1416.95600270, 1416.95600270, 0.00000000)"
particle 01 samples_in/out,"(4784, 4782)"
particle 01 avg_area_in/out,"(0.29618646, 0.29631033)"
,=================================
