metric,value
,==== FINAL COLLISION REPORT =====
time,11.32500000
initial momentum,"(0.00000000, 0.00000000)"
final momentum,"(0.00000000, 0.00000000)"
momentum error mag,0.00000000e+00
initial |p| sum,0.20000000
final |p| sum,0.20000000
|p| sum error,5.88823434e-12
internal |p| sum,0.00000000
scalar |p|+internal,0.20000000
scalar total error,5.88823434e-12
initial KE,0.01000000
final KE,0.01000000
KE error,5.88822394e-13
max area in,0.63306528
max area out,0.63306525
max area diff,3.29867120e-08
max J in,3.16532639e-05
max J out,3.16532623e-05
max J diff,1.64933560e-12
max raw p drift,0.00000000e+00
max replay mismatch,0.00000000e+00
active contacts,0
particle 00 init pos,"(1.10000000, 0.00000000)"
particle 00 pos,"(0.70827329, -0.40597422)"
particle 00 vel,"(0.04638527, -0.08859123)"
particle 00 mom,"(0.04638527, -0.08859123)"
particle 01 init pos,"(-1.10000000, 0.60000000)"
particle 01 pos,"(-0.70827329, 1.00597422)"
particle 01 vel,"(-0.04638527, 0.08859123)"
particle 01 mom,"(-0.04638527, 0.08859123)"
field samples in,4934
field samples out,4933
sum area in,1721.46026196
sum area out,1721.46026196
sum area*time in,1.72146026
sum area*time out,1.72146026
sum J in,8.60730131e-02
sum J out,8.60730131e-02
sum turn area,0.43596238
max turn area,0.00006374
max turn sweep,0.00006386
particle 00 area_in/out/diff,"(1721.46026196, 1721.46026196, 0.00000000)"
particle 00 samples_in/out,"(4934, 4933)"
particle 00 avg_area_in/out,"(0.34889750, 0.34896823)"
particle 01 area_in/out/diff,"(1721.46026196, 1721.46026196, 0.00000000)"
particle 01 samples_in/out,"(4934, 4933)"
particle 01 avg_area_in/out,"(0.34889750, 0.34896823)"
,=================================
