metric,value
,==== FINAL COLLISION REPORT =====
time,11.13500000
initial momentum,"(0.00000000, 0.00000000)"
final momentum,"(0.00000000, 0.00000000)"
momentum error mag,0.00000000e+00
initial |p| sum,0.20000000
final |p| sum,0.20000000
|p| sum error,2.84000601e-12
internal |p| sum,0.00000000
scalar |p|+internal,0.20000000
scalar total error,2.84000601e-12
initial KE,0.01000000
final KE,0.01000000
KE error,2.84000254e-13
max area in,0.71721880
max area out,0.71721870
max area diff,9.57758345e-08
max J in,3.58609400e-05
max J out,3.58609352e-05
max J diff,4.78879173e-12
max raw p drift,0.00000000e+00
max replay mismatch,0.00000000e+00
active contacts,0
particle 00 init pos,"(1.10000000, 0.00000000)"
particle 00 pos,"(1.00007714, 0.00000000)"
particle 00 vel,"(0.10000000, 0.00000000)"
particle 00 mom,"(0.10000000, 0.00000000)"
particle 01 init pos,"(-1.10000000, 0.00000000)"
particle 01 pos,"(-1.00007714, 0.00000000)"
particle 01 vel,"(-0.10000000, 0.00000000)"
particle 01 mom,"(-0.10000000, 0.00000000)"
field samples in,5068
field samples out,5067
sum area in,2000.00000001
sum area out,2000.00000001
sum area*time in,2.00000000
sum area*time out,2.00000000
sum J in,1.00000000e-01
sum J out,1.00000000e-01
sum turn area,0.00000000
max turn area,0.00000000
max turn sweep,0.00000000
particle 00 area_in/out/diff,"(2000.00000001, 2000.00000001, 0.00000000)"
particle 00 samples_in/out,"(5068, 5067)"
particle 00 avg_area_in/out,"(0.39463299, 0.39471087)"
particle 01 area_in/out/diff,"(2000.00000001, 2000.00000001, 0.00000000)"
particle 01 samples_in/out,"(5068, 5067)"
particle 01 avg_area_in/out,"(0.39463299, 0.39471087)"
,=================================
