frame_index,time,frame_dt,substeps,sub_dt,simulation_wall_ms,active_contact_count,pair_contact_count,wall_contact_count,bond_contact_count,collision_complete,frame_wall_ms,render_wall_ms
0,0.005,0.005,5,0.001,0.04940014332532883,0,0,0,0,0,12.103100074455142,12.053699931129813
1,0.01,0.005,5,0.001,0.05879998207092285,0,0,0,0,0,14.04409995302558,13.985299970954657
2,0.015,0.005,5,0.001,0.04439987242221832,0,0,0,0,0,15.799100045114756,15.754700172692537
3,0.02,0.005,5,0.001,0.04159985110163689,0,0,0,0,0,15.512699959799647,15.47110010869801
4,0.025,0.005,5,0.001,0.06250012665987015,0,0,0,0,0,16.091400058940053,16.028899932280183
5,0.030000000000000002,0.005,5,0.001,0.039400067180395126,0,0,0,0,0,16.251200111582875,16.21180004440248
6,0.035,0.005,5,0.001,0.041899969801306725,0,0,0,0,0,17.71829999051988,17.676400020718575
7,0.04,0.005,5,0.001,0.04859990440309048,0,0,0,0,0,16.722199972718954,16.673600068315864
8,0.045,0.005,5,0.001,0.05870009772479534,0,0,0,0,0,16.32829988375306,16.269599786028266
9,0.049999999999999996,0.005,5,0.001,0.04359986633062363,0,0,0,0,0,17.13459985330701,17.090999986976385
10,0.05499999999999999,0.005,5,0.001,0.04100007936358452,0,0,0,0,0,16.264300094917417,16.223300015553832
11,0.05999999999999999,0.005,5,0.001,0.040899962186813354,0,0,0,0,0,15.645300038158894,15.60440007597208
12,0.06499999999999999,0.005,5,0.001,0.03909994848072529,0,0,0,0,0,17.554400023072958,17.515300074592233
13,0.06999999999999999,0.005,5,0.001,0.04620011895895004,0,0,0,0,0,16.765400068834424,16.719199949875474
14,0.075,0.005,5,0.001,0.04229997284710407,0,0,0,0,0,16.21149992570281,16.169199952855706
15,0.08,0.005,5,0.001,0.03809994086623192,0,0,0,0,0,15.724499942734838,15.686400001868606
16,0.085,0.005,5,0.001,0.04760012961924076,0,0,0,0,0,16.356599982827902,16.30899985320866
17,0.09000000000000001,0.005,5,0.001,0.04630000330507755,0,0,0,0,0,16.362500144168735,16.316200140863657
18,0.09500000000000001,0.005,5,0.001,0.04349998198449612,0,0,0,0,0,17.031099880114198,16.9875998981297
19,0.10000000000000002,0.005,5,0.001,0.03929995000362396,0,0,0,0,0,16.831600107252598,16.792300157248974
20,0.10500000000000002,0.005,5,0.001,0.03510015085339546,0,0,0,0,0,16.49520010687411,16.460099956020713
21,0.11000000000000003,0.005,5,0.001,0.039499951526522636,0,0,0,0,0,16.352600185200572,16.31310023367405
22,0.11500000000000003,0.005,5,0.001,0.029700109735131264,0,0,0,0,0,16.168199945241213,16.13849983550608
23,0.12000000000000004,0.005,5,0.001,0.08529983460903168,0,0,0,0,0,16.86189998872578,16.77660015411675
24,0.12500000000000003,0.005,5,0.001,0.05150004290044308,0,0,0,0,0,17.350099980831146,17.298599937930703
25,0.13000000000000003,0.005,5,0.001,0.03569992259144783,0,0,0,0,0,16.947199823334813,16.911499900743365
26,0.13500000000000004,0.005,5,0.001,0.04060007631778717,0,0,0,0,0,16.98019984178245,16.939599765464664
27,0.14000000000000004,0.005,5,0.001,0.04300009459257126,0,0,0,0,0,17.07880012691021,17.03580003231764
28,0.14500000000000005,0.005,5,0.001,0.032899901270866394,0,0,0,0,0,16.75519999116659,16.722300089895725
29,0.15000000000000005,0.005,5,0.001,0.040899962186813354,0,0,0,0,0,17.02690008096397,16.986000118777156
30,0.15500000000000005,0.005,5,0.001,0.0420999713242054,0,0,0,0,0,15.62940003350377,15.587300062179565
31,0.16000000000000006,0.005,5,0.001,0.17330003902316093,0,0,0,0,0,16.20340021327138,16.03010017424822
32,0.16500000000000006,0.005,5,0.001,0.03400002606213093,0,0,0,0,0,16.862000105902553,16.82800007984042
33,0.17000000000000007,0.005,5,0.001,0.04630000330507755,0,0,0,0,0,17.146600177511573,17.100300174206495
34,0.17500000000000007,0.005,5,0.001,0.05630007945001125,0,0,0,0,0,17.50650000758469,17.45019992813468
35,0.18000000000000008,0.005,5,0.001,0.05030003376305103,0,0,0,0,0,15.237299958243966,15.186999924480915
36,0.18500000000000008,0.005,5,0.001,0.05759997293353081,0,0,0,0,0,15.166600001975894,15.109000029042363
37,0.19000000000000009,0.005,5,0.001,0.03810017369687557,0,0,0,0,0,16.30520005710423,16.267099883407354
38,0.1950000000000001,0.005,5,0.001,0.03300001844763756,0,0,0,0,0,15.914699994027615,15.881699975579977
39,0.2000000000000001,0.005,5,0.001,0.0575000885874033,0,0,0,0,0,18.972499994561076,18.914999905973673
40,0.2050000000000001,0.005,5,0.001,0.05469983443617821,0,0,0,0,0,16.992100048810244,16.937400214374065
41,0.2100000000000001,0.005,5,0.001,0.04469999112188816,0,0,0,0,0,15.671900007873774,15.627200016751885
42,0.2150000000000001,0.005,5,0.001,0.039700185880064964,0,0,0,0,0,16.724899876862764,16.6851996909827
43,0.2200000000000001,0.005,5,0.001,0.041899969801306725,0,0,0,0,0,15.305500011891127,15.26360004208982
44,0.22500000000000012,0.005,5,0.001,0.05149981006979942,0,0,0,0,0,16.92750002257526,16.87600021250546
45,0.23000000000000012,0.005,5,0.001,0.05330005660653114,0,0,0,0,0,15.840600011870265,15.787299955263734
46,0.23500000000000013,0.005,5,0.001,0.04239985719323158,0,0,0,0,0,15.503899892792106,15.461500035598874
47,0.24000000000000013,0.005,5,0.001,0.04469999112188816,0,0,0,0,0,17.23859994672239,17.1938999556005
48,0.24500000000000013,0.005,5,0.001,0.04100007936358452,0,0,0,0,0,17.109000124037266,17.06800004467368
49,0.2500000000000001,0.005,5,0.001,0.04650000482797623,0,0,0,0,0,16.458099940791726,16.41159993596375
50,0.2550000000000001,0.005,5,0.001,0.04979991354048252,0,0,0,0,0,16.666200011968613,16.61640009842813
51,0.2600000000000001,0.005,5,0.001,0.044999876990914345,0,0,0,0,0,15.898299869149923,15.853299992159009
52,0.2650000000000001,0.005,5,0.001,0.03909994848072529,0,0,0,0,0,15.283999964594841,15.244900016114116
53,0.27000000000000013,0.005,5,0.001,0.04540011286735535,0,0,0,0,0,16.620300011709332,16.574899898841977
54,0.27500000000000013,0.005,5,0.001,0.041899969801306725,0,0,0,0,0,16.474599950015545,16.432699980214238
55,0.28000000000000014,0.005,5,0.001,0.07149996235966682,0,0,0,0,0,17.233100021257997,17.16160005889833
56,0.28500000000000014,0.005,5,0.001,0.0366999302059412,0,0,0,0,0,16.748699825257063,16.71199989505112
57,0.29000000000000015,0.005,5,0.001,0.03909994848072529,0,0,0,0,0,16.20419998653233,16.165100038051605
58,0.29500000000000015,0.005,5,0.001,0.03929995000362396,0,0,0,0,0,16.37579989619553,16.336499946191907
59,0.30000000000000016,0.005,5,0.001,0.07770000956952572,0,0,0,0,0,18.9217000734061,18.844000063836575
60,0.30500000000000016,0.005,5,0.001,0.062400009483098984,0,0,0,0,0,16.987100010737777,16.924700001254678
61,0.31000000000000016,0.005,5,0.001,0.045000109821558,0,0,0,0,0,15.874299919232726,15.829299809411168
62,0.31500000000000017,0.005,5,0.001,0.038599828258156776,0,0,0,0,0,16.713199904188514,16.674600075930357
63,0.3200000000000002,0.005,5,0.001,0.03900006413459778,0,0,0,0,0,16.07870007865131,16.03970001451671
64,0.3250000000000002,0.005,5,0.001,0.04549999721348286,0,0,0,0,0,16.8592999689281,16.813799971714616
65,0.3300000000000002,0.005,5,0.001,0.062000006437301636,0,0,0,0,0,17.504299990832806,17.442299984395504
66,0.3350000000000002,0.005,5,0.001,0.05730008706450462,0,0,0,0,0,16.81869989261031,16.761399805545807
67,0.3400000000000002,0.005,5,0.001,0.05870009772479534,0,0,0,0,0,16.17510011419654,16.116400016471744
68,0.3450000000000002,0.005,5,0.001,0.041899969801306725,0,0,0,0,0,17.319000093266368,17.27710012346506
69,0.3500000000000002,0.005,5,0.001,0.04440010525286198,0,0,0,0,0,15.420400071889162,15.3759999666363
70,0.3550000000000002,0.005,5,0.001,0.04259985871613026,0,0,0,0,0,16.53960021212697,16.49700035341084
71,0.3600000000000002,0.005,5,0.001,0.04279986023902893,0,0,0,0,0,16.630500089377165,16.587700229138136
72,0.3650000000000002,0.005,5,0.001,0.04720012657344341,0,0,0,0,0,16.667200019583106,16.619999893009663
73,0.3700000000000002,0.005,5,0.001,0.04320009611546993,0,0,0,0,0,16.78629987873137,16.7430997826159
74,0.3750000000000002,0.005,5,0.001,0.05159992724657059,0,0,0,0,0,17.11099990643561,17.05939997918904
75,0.3800000000000002,0.005,5,0.001,0.034800032153725624,0,0,0,0,0,16.04570006020367,16.010900028049946
76,0.38500000000000023,0.005,5,0.001,0.06769993342459202,0,0,0,0,0,17.584299901500344,17.516599968075752
77,0.39000000000000024,0.005,5,0.001,0.04950002767145634,0,0,0,0,0,17.0800001360476,17.030500108376145
78,0.39500000000000024,0.005,5,0.001,0.04409998655319214,0,0,0,0,0,16.083399998024106,16.039300011470914
79,0.40000000000000024,0.005,5,0.001,0.04319986328482628,0,0,0,0,0,15.534000005573034,15.490800142288208
80,0.40500000000000025,0.005,5,0.001,0.036999816074967384,0,0,0,0,0,17.47730001807213,17.44030020199716
81,0.41000000000000025,0.005,5,0.001,0.039899954572319984,0,0,0,0,0,16.7966999579221,16.75680000334978
82,0.41500000000000026,0.005,5,0.001,0.05119992420077324,0,0,0,0,0,16.142399981617928,16.091200057417154
83,0.42000000000000026,0.005,5,0.001,0.03800005652010441,0,0,0,0,0,16.277499962598085,16.23949990607798
84,0.42500000000000027,0.005,5,0.001,0.03600004129111767,0,0,0,0,0,16.378400148823857,16.34240010753274
85,0.43000000000000027,0.005,5,0.001,0.031499890610575676,0,0,0,0,0,16.324999975040555,16.29350008442998
86,0.4350000000000003,0.005,5,0.001,0.03429991193115711,0,0,0,0,0,16.09930000267923,16.06500009074807
87,0.4400000000000003,0.005,5,0.001,0.03800005652010441,0,0,0,0,0,16.598900081589818,16.560900025069714
88,0.4450000000000003,0.005,5,0.001,0.04020007327198982,0,0,0,0,0,17.436099937185645,17.395899863913655
89,0.4500000000000003,0.005,5,0.001,0.03460003063082695,0,0,0,0,0,15.98179992288351,15.947199892252684
90,0.4550000000000003,0.005,5,0.001,0.05340017378330231,0,0,0,0,0,17.465800046920776,17.412399873137474
91,0.4600000000000003,0.005,5,0.001,0.05000014789402485,0,0,0,0,0,16.7582998983562,16.708299750462174
92,0.4650000000000003,0.005,5,0.001,0.051999930292367935,0,0,0,0,0,16.52719988487661,16.47519995458424
93,0.4700000000000003,0.005,5,0.001,0.04579988308250904,0,0,0,0,0,15.592999989166856,15.547200106084347
94,0.4750000000000003,0.005,5,0.001,0.04139984957873821,0,0,0,0,0,16.60299999639392,16.56160014681518
95,0.4800000000000003,0.005,5,0.001,0.04259985871613026,0,0,0,0,0,16.855299938470125,16.812700079753995
96,0.4850000000000003,0.005,5,0.001,0.04600011743605137,0,0,0,0,0,15.29589993879199,15.249899821355939
97,0.4900000000000003,0.005,5,0.001,0.0420999713242054,0,0,0,0,0,16.283300006762147,16.24120003543794
98,0.49500000000000033,0.005,5,0.001,0.04169996827840805,0,0,0,0,0,17.181700095534325,17.140000127255917
99,0.5000000000000003,0.005,5,0.001,0.04300009459257126,0,0,0,0,0,16.764000058174133,16.720999963581562
100,0.5050000000000003,0.005,5,0.001,0.04249997437000275,0,0,0,0,0,17.145800171419978,17.103300197049975
101,0.5100000000000003,0.005,5,0.001,0.029899878427386284,0,0,0,0,0,16.701299929991364,16.671400051563978
102,0.5150000000000003,0.005,5,0.001,0.04739989526569843,0,0,0,0,0,17.09449989721179,17.04710000194609
103,0.5200000000000004,0.005,5,0.001,0.04009995609521866,0,0,0,0,0,16.400299966335297,16.360200010240078
104,0.5250000000000004,0.005,5,0.001,0.03909994848072529,0,0,0,0,0,16.87679998576641,16.837700037285686
105,0.5300000000000004,0.005,5,0.001,0.03929995000362396,0,0,0,0,0,16.392000019550323,16.3527000695467
106,0.5350000000000004,0.005,5,0.001,0.04349998198449612,0,0,0,0,0,16.781300073489547,16.73780009150505
107,0.5400000000000004,0.005,5,0.001,0.1230000052601099,0,0,0,0,0,16.24300004914403,16.12000004388392
108,0.5450000000000004,0.005,5,0.001,0.040499959141016006,0,0,0,0,0,15.886599896475673,15.846099937334657
109,0.5500000000000004,0.005,5,0.001,0.040400074794888496,0,0,0,0,0,15.953000169247389,15.9126000944525
110,0.5550000000000004,0.005,5,0.001,0.04169996827840805,0,0,0,0,0,15.995500143617392,15.953800175338984
111,0.5600000000000004,0.005,5,0.001,0.05859998054802418,0,0,0,0,0,15.564000001177192,15.505400020629168
112,0.5650000000000004,0.005,5,0.001,0.04339986480772495,0,0,0,0,0,17.067600041627884,17.02420017682016
113,0.5700000000000004,0.005,5,0.001,0.03860006108880043,0,0,0,0,0,16.47880021482706,16.44020015373826
114,0.5750000000000004,0.005,5,0.001,0.05910010077059269,0,0,0,0,0,16.054500127211213,15.99540002644062
115,0.5800000000000004,0.005,5,0.001,0.04460010677576065,0,0,0,0,0,16.531800152733922,16.48720004595816
116,0.5850000000000004,0.005,5,0.001,0.05010003224015236,0,0,0,0,0,17.739899922162294,17.689799889922142
117,0.5900000000000004,0.005,5,0.001,0.056900084018707275,0,0,0,0,0,16.711300006136298,16.65439992211759
118,0.5950000000000004,0.005,5,0.001,0.051900045946240425,0,0,0,0,0,15.783899929374456,15.731999883428216
119,0.6000000000000004,0.005,5,0.001,0.04340009763836861,0,0,0,0,0,16.04290003888309,15.999499941244721
120,0.6050000000000004,0.005,5,0.001,0.04739989526569843,0,0,0,0,0,16.389500116929412,16.342100221663713
121,0.6100000000000004,0.005,5,0.001,0.04100007936358452,0,0,0,0,0,16.22939994558692,16.188399866223335
122,0.6150000000000004,0.005,5,0.001,0.04679989069700241,0,0,0,0,0,17.22829998470843,17.181500094011426
123,0.6200000000000004,0.005,5,0.001,0.04559988155961037,0,0,0,0,0,16.41520019620657,16.36960031464696
124,0.6250000000000004,0.005,5,0.001,0.03869994543492794,0,0,0,0,0,17.09050009958446,17.051800154149532
125,0.6300000000000004,0.005,5,0.001,0.05010003224015236,0,0,0,0,0,17.526600044220686,17.476500011980534
126,0.6350000000000005,0.005,5,0.001,0.044800108298659325,0,0,0,0,0,15.760400099679828,15.715599991381168
127,0.6400000000000005,0.005,5,0.001,0.03390014171600342,0,0,0,0,0,16.48989995010197,16.455999808385968
128,0.6450000000000005,0.005,5,0.001,0.03160000778734684,0,0,0,0,0,16.561400145292282,16.529800137504935
129,0.6500000000000005,0.005,5,0.001,0.031499890610575676,0,0,0,0,0,17.132699955254793,17.101200064644217
130,0.6550000000000005,0.005,5,0.001,0.034899916499853134,0,0,0,0,0,16.501300036907196,16.466400120407343
131,0.6600000000000005,0.005,5,0.001,0.038800062611699104,0,0,0,0,0,16.67880010791123,16.64000004529953
132,0.6650000000000005,0.005,5,0.001,0.03690016455948353,0,0,0,0,0,16.937600215896964,16.90070005133748
133,0.6700000000000005,0.005,5,0.001,0.03720005042850971,0,0,0,0,0,16.02039998397231,15.983199933543801
134,0.6750000000000005,0.005,5,0.001,0.03369990736246109,0,0,0,0,0,16.55400008894503,16.52030018158257
135,0.6800000000000005,0.005,5,0.001,0.04850002005696297,0,0,0,0,0,16.799300210550427,16.750800190493464
136,0.6850000000000005,0.005,5,0.001,0.04829978570342064,0,0,0,0,0,15.62940003350377,15.58110024780035
