frame_index,time,frame_dt,substeps,sub_dt,simulation_wall_ms,active_contact_count,pair_contact_count,wall_contact_count,bond_contact_count,collision_complete,frame_wall_ms,render_wall_ms
0,0.005,0.005,5,0.001,0.10770000517368317,0,0,0,0,0,16.364499926567078,16.256799921393394
1,0.01,0.005,5,0.001,0.07070018909871578,0,0,0,0,0,13.420899864286184,13.350199675187469
2,0.015,0.005,5,0.001,0.05859998054802418,0,0,0,0,0,15.682699857279658,15.624099876731634
3,0.02,0.005,5,0.001,0.05150004290044308,0,0,0,0,0,16.110899858176708,16.059399815276265
4,0.025,0.005,5,0.001,0.05189981311559677,0,0,0,0,0,17.39689987152815,17.345000058412552
5,0.030000000000000002,0.005,5,0.001,0.04789978265762329,0,0,0,0,0,16.476199962198734,16.42830017954111
6,0.035,0.005,5,0.001,0.0475000124424696,0,0,0,0,0,17.208999954164028,17.16149994172156
7,0.04,0.005,5,0.001,0.06740004755556583,0,0,0,0,0,15.980599913746119,15.913199866190553
8,0.045,0.005,5,0.001,0.044999876990914345,0,0,0,0,0,15.473400009796023,15.428400132805109
9,0.049999999999999996,0.005,5,0.001,0.045000109821558,0,0,0,0,0,16.914499923586845,16.869499813765287
10,0.05499999999999999,0.005,5,0.001,0.048900023102760315,0,0,0,0,0,16.694199992343783,16.645299969241023
11,0.05999999999999999,0.005,5,0.001,0.04529999569058418,0,0,0,0,0,16.11720002256334,16.071900026872754
12,0.06499999999999999,0.005,5,0.001,0.040499959141016006,0,0,0,0,0,16.17589988745749,16.135399928316474
13,0.06999999999999999,0.005,5,0.001,0.03720005042850971,0,0,0,0,0,16.747400164604187,16.710200114175677
14,0.075,0.005,5,0.001,0.03809994086623192,0,0,0,0,0,16.43239986151457,16.394299920648336
15,0.08,0.005,5,0.001,0.09030010551214218,0,0,0,0,0,16.735400073230267,16.645099967718124
16,0.085,0.005,5,0.001,0.03560003824532032,0,0,0,0,0,16.807900043204427,16.772300004959106
17,0.09000000000000001,0.005,5,0.001,0.043800100684165955,0,0,0,0,0,17.282400047406554,17.23859994672239
18,0.09500000000000001,0.005,5,0.001,0.04740012809634209,0,0,0,0,0,15.644700033590198,15.597299905493855
19,0.10000000000000002,0.005,5,0.001,0.033700140193104744,0,0,0,0,0,15.16529987566173,15.131599735468626
20,0.10500000000000002,0.005,5,0.001,0.04069996066391468,0,0,0,0,0,16.3372999522835,16.296599991619587
21,0.11000000000000003,0.005,5,0.001,0.038300175219774246,0,0,0,0,0,17.109599895775318,17.071299720555544
22,0.11500000000000003,0.005,5,0.001,0.062400009483098984,0,0,0,0,0,16.488299937918782,16.425899928435683
23,0.12000000000000004,0.005,5,0.001,0.045900000259280205,0,0,0,0,0,16.879400005564094,16.833500005304813
24,0.12500000000000003,0.005,5,0.001,0.03829994238913059,0,0,0,0,0,16.665700124576688,16.627400182187557
25,0.13000000000000003,0.005,5,0.001,0.042800093069672585,0,0,0,0,0,16.831399872899055,16.788599779829383
26,0.13500000000000004,0.005,5,0.001,0.045900000259280205,0,0,0,0,0,16.508900094777346,16.463000094518065
27,0.14000000000000004,0.005,5,0.001,0.045000109821558,0,0,0,0,0,16.00259984843433,15.957599738612771
28,0.14500000000000005,0.005,5,0.001,0.05010003224015236,0,0,0,0,0,16.773899784311652,16.7237997520715
29,0.15000000000000005,0.005,5,0.001,0.040999846532940865,0,0,0,0,0,15.42950002476573,15.388500178232789
30,0.15500000000000005,0.005,5,0.001,0.03929995000362396,0,0,0,0,0,15.923900064080954,15.88460011407733
31,0.16000000000000006,0.005,5,0.001,0.03950018435716629,0,0,0,0,0,16.639200039207935,16.59969985485077
32,0.16500000000000006,0.005,5,0.001,0.036700163036584854,0,0,0,0,0,17.437900183722377,17.401200020685792
33,0.17000000000000007,0.005,5,0.001,0.07220008410513401,0,0,0,0,0,15.951099805533886,15.878899721428752
34,0.17500000000000007,0.005,5,0.001,0.06070011295378208,0,0,0,0,0,16.796400072053075,16.735699959099293
