metric,value
,==== FINAL COLLISION REPORT =====
time,13.23500000
initial momentum,"(0.00000000, 0.00000000)"
final momentum,"(0.00000000, 0.00000000)"
momentum error mag,0.00000000e+00
initial |p| sum,0.20000000
final |p| sum,0.19999500
|p| sum error,-5.00446829e-06
internal |p| sum,0.00000000
scalar |p|+internal,0.19999500
scalar total error,-5.00446829e-06
initial KE,0.01000000
final KE,0.00999950
KE error,-5.00440568e-07
max area in,0.20649522
max area out,0.20649523
max area diff,8.74679151e-09
max J in,1.03247610e-05
max J out,1.03247614e-05
max J diff,4.37339577e-13
max raw p drift,0.00000000e+00
max replay mismatch,0.00000000e+00
active contacts,0
particle 00 init pos,"(1.10000000, 0.00000000)"
particle 00 pos,"(-0.16454252, -0.18640571)"
particle 00 vel,"(-0.08877903, -0.04601938)"
particle 00 mom,"(-0.08877903, -0.04601938)"
particle 01 init pos,"(-1.10000000, 1.60000000)"
particle 01 pos,"(0.16454252, 1.78640571)"
particle 01 vel,"(0.08877903, 0.04601938)"
particle 01 mom,"(0.08877903, 0.04601938)"
field samples in,4118
field samples out,4012
sum area in,480.76244115
sum area out,480.76244115
sum area*time in,0.48076244
sum area*time out,0.48076244
sum J in,2.40381221e-02
sum J out,2.40381221e-02
sum turn area,0.59749513
max turn area,0.00009763
max turn sweep,0.00010979
particle 00 area_in/out/diff,"(480.76244115, 480.76244115, 0.00000000)"
particle 00 samples_in/out,"(4118, 4012)"
particle 00 avg_area_in/out,"(0.11674659, 0.11983112)"
particle 01 area_in/out/diff,"(480.76244115, 480.76244115, 0.00000000)"
particle 01 samples_in/out,"(4118, 4012)"
particle 01 avg_area_in/out,"(0.11674659, 0.11983112)"
,=================================
