frame_index,time,frame_dt,substeps,sub_dt,simulation_wall_ms,active_contact_count,pair_contact_count,wall_contact_count,bond_contact_count,collision_complete,frame_wall_ms,render_wall_ms
0,0.005,0.005,5,0.001,0.044899992644786835,0,0,0,0,0,18.44190014526248,18.397000152617693
1,0.01,0.005,5,0.001,0.04479987546801567,0,0,0,0,0,14.942799927666783,14.898000052198768
2,0.015,0.005,5,0.001,0.05070003680884838,0,0,0,0,0,17.16010016389191,17.109400127083063
3,0.02,0.005,5,0.001,0.047900015488266945,0,0,0,0,0,15.672799898311496,15.624899882823229
4,0.025,0.005,5,0.001,0.05529983900487423,0,0,0,0,0,15.510499943047762,15.455200104042888
5,0.030000000000000002,0.005,5,0.001,0.0467000063508749,0,0,0,0,0,16.784499865025282,16.737799858674407
6,0.035,0.005,5,0.001,0.04309997893869877,0,0,0,0,0,15.79219987615943,15.74909989722073
7,0.04,0.005,5,0.001,0.038800062611699104,0,0,0,0,0,16.044900054112077,16.006099991500378
8,0.045,0.005,5,0.001,0.035899924114346504,0,0,0,0,0,16.64920011535287,16.613300191238523
9,0.049999999999999996,0.005,5,0.001,0.041499966755509377,0,0,0,0,0,17.176399938762188,17.13489997200668
10,0.05499999999999999,0.005,5,0.001,0.04360009916126728,0,0,0,0,0,16.6060000192374,16.562399920076132
11,0.05999999999999999,0.005,5,0.001,0.04269997589290142,0,0,0,0,0,16.905099852010608,16.862399876117706
12,0.06499999999999999,0.005,5,0.001,0.04579988308250904,0,0,0,0,0,16.75689988769591,16.7111000046134
13,0.06999999999999999,0.005,5,0.001,0.04509999416768551,0,0,0,0,0,17.14199990965426,17.096899915486574
14,0.075,0.005,5,0.001,0.05539995618164539,0,0,0,0,0,16.320800175890326,16.26540021970868
15,0.08,0.005,5,0.001,0.03800005652010441,0,0,0,0,0,16.420699888840318,16.382699832320213
16,0.085,0.005,5,0.001,0.043999869376420975,0,0,0,0,0,16.447799978777766,16.403800109401345
