frame_index,time,frame_dt,substeps,sub_dt,simulation_wall_ms,active_contact_count,pair_contact_count,wall_contact_count,bond_contact_count,collision_complete,frame_wall_ms,render_wall_ms
0,0.005,0.005,5,0.001,0.04539988003671169,0,0,0,0,0,18.606900004670024,18.561500124633312
1,0.01,0.005,5,0.001,0.05970010533928871,0,0,0,0,0,14.603799907490611,14.544099802151322
2,0.015,0.005,5,0.001,0.05019991658627987,0,0,0,0,0,16.645000083371997,16.594800166785717
3,0.02,0.005,5,0.001,0.06180000491440296,0,0,0,0,0,17.13020005263388,17.06840004771948
4,0.025,0.005,5,0.001,0.04720012657344341,0,0,0,0,0,17.317799851298332,17.27059972472489
5,0.030000000000000002,0.005,5,0.001,0.04540011286735535,0,0,0,0,0,16.67420007288456,16.628799960017204
6,0.035,0.005,5,0.001,0.05719996988773346,0,0,0,0,0,17.61800004169345,17.560800071805716
7,0.04,0.005,5,0.001,0.05419994704425335,0,0,0,0,0,16.452499898150563,16.39829995110631
8,0.045,0.005,5,0.001,0.05170004442334175,0,0,0,0,0,16.57050009816885,16.518800053745508
9,0.049999999999999996,0.005,5,0.001,0.04409998655319214,0,0,0,0,0,16.9060998596251,16.86199987307191
10,0.05499999999999999,0.005,5,0.001,0.041899969801306725,0,0,0,0,0,16.851400025188923,16.809500055387616
11,0.05999999999999999,0.005,5,0.001,0.05149981006979942,0,0,0,0,0,17.553099896758795,17.501600086688995
12,0.06499999999999999,0.005,5,0.001,0.07360009476542473,0,0,0,0,0,16.928300028666854,16.85469993390143
13,0.06999999999999999,0.005,5,0.001,0.056999968364834785,0,0,0,0,0,16.868800157681108,16.811800189316273
14,0.075,0.005,5,0.001,0.059399986639618874,0,0,0,0,0,15.657800016924739,15.59840003028512
15,0.08,0.005,5,0.001,0.06059999577701092,0,0,0,0,0,16.038100002333522,15.977500006556511
16,0.085,0.005,5,0.001,0.03660004585981369,0,0,0,0,0,15.53999981842935,15.503399772569537
17,0.09000000000000001,0.005,5,0.001,0.0591999851167202,0,0,0,0,0,17.535499995574355,17.476300010457635
18,0.09500000000000001,0.005,5,0.001,0.037499936297535896,0,0,0,0,0,16.217400087043643,16.179900150746107
