metric,value
,==== FINAL COLLISION REPORT =====
time,11.51000000
initial momentum,"(0.00000000, 0.00000000)"
final momentum,"(0.00000000, 0.00000000)"
momentum error mag,0.00000000e+00
initial |p| sum,0.20000000
final |p| sum,0.20000000
|p| sum error,1.49080748e-11
internal |p| sum,0.00000000
scalar |p|+internal,0.20000000
scalar total error,1.49080748e-11
initial KE,0.01000000
final KE,0.01000000
KE error,1.49080748e-12
max area in,0.57169159
max area out,0.57169157
max area diff,1.98119151e-08
max J in,2.85845794e-05
max J out,2.85845784e-05
max J diff,9.90595755e-13
max raw p drift,0.00000000e+00
max replay mismatch,0.00000000e+00
active contacts,0
particle 00 init pos,"(1.10000000, 0.00000000)"
particle 00 pos,"(0.52839879, -0.44902560)"
particle 00 vel,"(0.01446824, -0.09894781)"
particle 00 mom,"(0.01446824, -0.09894781)"
particle 01 init pos,"(-1.10000000, 0.80000000)"
particle 01 pos,"(-0.52839879, 1.24902560)"
particle 01 vel,"(-0.01446824, 0.09894781)"
particle 01 mom,"(-0.01446824, 0.09894781)"
field samples in,4839
field samples out,4838
sum area in,1527.32797007
sum area out,1527.32797007
sum area*time in,1.52732797
sum area*time out,1.52732797
sum J in,7.63663985e-02
sum J out,7.63663985e-02
sum turn area,0.54205342
max turn area,0.00008007
max turn sweep,0.00008007
particle 00 area_in/out/diff,"(1527.32797007, 1527.32797007, 0.00000000)"
particle 00 samples_in/out,"(4839, 4838)"
particle 00 avg_area_in/out,"(0.31562884, 0.31569408)"
particle 01 area_in/out/diff,"(1527.32797007, 1527.32797007, 0.00000000)"
particle 01 samples_in/out,"(4839, 4838)"
particle 01 avg_area_in/out,"(0.31562884, 0.31569408)"
,=================================
