metric,value
,==== FINAL COLLISION REPORT =====
time,11.21000000
initial momentum,"(0.00000000, 0.00000000)"
final momentum,"(0.00000000, 0.00000000)"
momentum error mag,0.00000000e+00
initial |p| sum,0.20000000
final |p| sum,0.20000000
|p| sum error,8.02274913e-13
internal |p| sum,0.00000000
scalar |p|+internal,0.20000000
scalar total error,8.02274913e-13
initial KE,0.01000000
final KE,0.01000000
KE error,8.02257566e-14
max area in,0.67899187
max area out,0.67899182
max area diff,5.28405308e-08
max J in,3.39495935e-05
max J out,3.39495908e-05
max J diff,2.64202654e-12
max raw p drift,0.00000000e+00
max replay mismatch,0.00000000e+00
active contacts,0
particle 00 init pos,"(1.10000000, 0.00000000)"
particle 00 pos,"(0.86024680, -0.30988739)"
particle 00 vel,"(0.07408859, -0.06716309)"
particle 00 mom,"(0.07408859, -0.06716309)"
particle 01 init pos,"(-1.10000000, 0.40000000)"
particle 01 pos,"(-0.86024680, 0.70988739)"
particle 01 vel,"(-0.07408859, 0.06716309)"
particle 01 mom,"(-0.07408859, 0.06716309)"
field samples in,5006
field samples out,5005
sum area in,1871.54035383
sum area out,1871.54035383
sum area*time in,1.87154035
sum area*time out,1.87154035
sum J in,9.35770177e-02
sum J out,9.35770177e-02
sum turn area,0.30566380
max turn area,0.00004434
max turn sweep,0.00004458
particle 00 area_in/out/diff,"(1871.54035383, 1871.54035383, 0.00000000)"
particle 00 samples_in/out,"(5006, 5005)"
particle 00 avg_area_in/out,"(0.37385944, 0.37393414)"
particle 01 area_in/out/diff,"(1871.54035383, 1871.54035383, 0.00000000)"
particle 01 samples_in/out,"(5006, 5005)"
particle 01 avg_area_in/out,"(0.37385944, 0.37393414)"
,=================================
