metric,value
,==== FINAL COLLISION REPORT =====
time,12.16000000
initial momentum,"(0.00000000, 0.00000000)"
final momentum,"(0.00000000, 0.00000000)"
momentum error mag,0.00000000e+00
initial |p| sum,0.20000000
final |p| sum,0.20000000
|p| sum error,4.12214707e-12
internal |p| sum,0.00000000
scalar |p|+internal,0.20000000
scalar total error,4.12214707e-12
initial KE,0.01000000
final KE,0.01000000
KE error,4.12213666e-13
max area in,0.41025662
max area out,0.41025661
max area diff,2.54815435e-09
max J in,2.05128308e-05
max J out,2.05128307e-05
max J diff,1.27407718e-13
max raw p drift,0.00000000e+00
max replay mismatch,0.00000000e+00
active contacts,0
particle 00 init pos,"(1.10000000, 0.00000000)"
particle 00 pos,"(0.15412425, -0.38805711)"
particle 00 vel,"(-0.04695286, -0.08829173)"
particle 00 mom,"(-0.04695286, -0.08829173)"
particle 01 init pos,"(-1.10000000, 1.20000000)"
particle 01 pos,"(-0.15412425, 1.58805711)"
particle 01 vel,"(0.04695286, 0.08829173)"
particle 01 mom,"(0.04695286, 0.08829173)"
field samples in,4580
field samples out,4580
sum area in,1045.12760055
sum area out,1045.12760055
sum area*time in,1.04512760
sum area*time out,1.04512760
sum J in,5.22563800e-02
sum J out,5.22563800e-02
sum turn area,0.66066704
max turn area,0.00010054
max turn sweep,0.00010212
particle 00 area_in/out/diff,"(1045.12760055, 1045.12760055, 0.00000000)"
particle 00 samples_in/out,"(4580, 4580)"
particle 00 avg_area_in/out,"(0.22819380, 0.22819380)"
particle 01 area_in/out/diff,"(1045.12760055, 1045.12760055, 0.00000000)"
particle 01 samples_in/out,"(4580, 4580)"
particle 01 avg_area_in/out,"(0.22819380, 0.22819380)"
,=================================
