time,sub_dt,phase,collision_started,rebound_mode,active_contact_count,pair_contact_count,wall_contact_count,bond_contact_count,current_area,current_J,max_area_in,max_area_out,max_J_in,max_J_out,step_turn_area,step_max_turn_area,step_max_turn_sweep,p0_x,p0_y,p0_vx,p0_vy,p0_px,p0_py,p0_internal_p,p0_radius,p0_mass,p1_x,p1_y,p1_vx,p1_vy,p1_px,p1_py,p1_internal_p,p1_radius,p1_mass,p2_x,p2_y,p2_vx,p2_vy,p2_px,p2_py,p2_internal_p,p2_radius,p2_mass,p3_x,p3_y,p3_vx,p3_vy,p3_px,p3_py,p3_internal_p,p3_radius,p3_mass,bookkeeping_internal
6.643000000000553,0.001,inbound,1,0,1,1,0,0,9.248910459690174e-07,4.624455229845087e-11,9.248910459690174e-07,0.0,4.624455229845087e-11,0.0,0.0,0.0,0.0,0.4357000000000934,-4.1621727839848654e-14,-0.09999999997984584,-4.1621727839848653e-11,-0.09999999997984584,-4.1621727839848653e-11,0.0,1.0,1.0,-0.4357000000000934,1.8000000000000416,0.09999999997984584,4.1621727839848653e-11,0.09999999997984584,4.1621727839848653e-11,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.6440000000005535,0.001,inbound,1,0,1,1,0,0,2.8392043829421343e-06,1.419602191471067e-10,2.8392043829421343e-06,0.0,1.419602191471067e-10,0.0,1.9877603435068595e-06,1.9877603435068595e-06,9.00109756952511e-05,0.4356000000001754,-2.1101822735088088e-13,-0.09999999991798865,-1.6939649951103221e-10,-0.09999999991798865,-1.6939649951103221e-10,0.0,1.0,1.0,-0.4356000000001754,1.800000000000211,0.09999999991798865,1.6939649951103221e-10,0.09999999991798865,1.6939649951103221e-10,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.645000000000554,0.001,inbound,1,0,1,1,0,0,5.354572749922959e-06,2.6772863749614797e-10,5.354572749922959e-06,0.0,2.6772863749614797e-10,0.0,2.6029717579670468e-06,2.6029717579670468e-06,9.001882089194184e-05,0.43550000000037403,-6.214009439102965e-13,-0.09999999980135132,-4.1038271655941566e-10,-0.09999999980135132,-4.1038271655941566e-10,0.0,1.0,1.0,-0.43550000000037403,1.8000000000006213,0.09999999980135132,4.1038271655941566e-10,0.09999999980135132,4.1038271655941566e-10,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.646000000000554,0.001,inbound,1,0,1,1,0,0,8.350686962546594e-06,4.1753434812732973e-10,8.350686962546594e-06,0.0,4.1753434812732973e-10,0.0,3.0983183704671454e-06,3.0983183704671454e-06,9.002666565525702e-05,0.4354000000007546,-1.4076284258377086e-12,-0.09999999961948422,-7.862274819274119e-10,-0.09999999961948422,-7.862274819274119e-10,0.0,1.0,1.0,-0.4354000000007546,1.8000000000014076,0.09999999961948422,7.862274819274119e-10,0.09999999961948422,7.862274819274119e-10,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.6470000000005545,0.001,inbound,1,0,1,1,0,0,1.175958567203872e-05,5.87979283601936e-10,1.175958567203872e-05,0.0,5.87979283601936e-10,0.0,3.52470356482185e-06,3.52470356482185e-06,9.003450998419748e-05,0.43530000000139113,-2.723150237059352e-12,-0.09999999936342338,-1.3155218112216432e-09,-0.09999999936342338,-1.3155218112216432e-09,0.0,1.0,1.0,-0.43530000000139113,1.8000000000027232,0.09999999936342338,1.3155218112216432e-09,0.09999999936342338,1.3155218112216432e-09,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.648000000000555,0.001,inbound,1,0,1,1,0,0,1.5535895851466475e-05,7.767947925733237e-10,1.5535895851466475e-05,0.0,7.767947925733237e-10,0.0,3.904783891264432e-06,3.904783891264432e-06,9.00423538788187e-05,0.4352000000023659,-4.737967072041511e-12,-0.09999999902519768,-2.014816834982158e-09,-0.09999999902519768,-2.014816834982158e-09,0.0,1.0,1.0,-0.4352000000023659,1.800000000004738,0.09999999902519768,2.014816834982158e-09,0.09999999902519768,2.014816834982158e-09,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.649000000000555,0.001,inbound,1,0,1,1,0,0,1.9646508964930864e-05,9.823254482465432e-10,1.9646508964930864e-05,0.0,9.823254482465432e-10,0.0,4.250997830552257e-06,4.250997830552257e-06,9.005019733795493e-05,0.43510000000376836,-7.63714258247592e-12,-0.09999999859756113,-2.8991755104344088e-09,-0.09999999859756113,-2.8991755104344088e-09,0.0,1.0,1.0,-0.43510000000376836,1.8000000000076373,0.09999999859756113,2.8991755104344088e-09,0.09999999859756113,2.8991755104344088e-09,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.6500000000005555,0.001,inbound,1,0,1,1,0,0,2.4065870192761796e-05,1.2032935096380899e-09,2.4065870192761796e-05,0.0,1.2032935096380899e-09,0.0,4.571047029989876e-06,4.571047029989876e-06,9.005804036132864e-05,0.43500000000569455,-1.1619654978175491e-11,-0.09999999807382794,-3.9825123956995724e-09,-0.09999999807382794,-3.9825123956995724e-09,0.0,1.0,1.0,-0.43500000000569455,1.8000000000116199,0.09999999807382794,3.9825123956995724e-09,0.09999999807382794,3.9825123956995724e-09,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.651000000000556,0.001,inbound,1,0,1,1,0,0,2.877347215553272e-05,1.438673607776636e-09,2.877347215553272e-05,0.0,1.438673607776636e-09,0.0,4.870092627255618e-06,4.870092627255618e-06,9.006588294810714e-05,0.4349000000082468,-1.6897475650118057e-11,-0.09999999744776226,-5.277820671942564e-09,-0.09999999744776226,-5.277820671942564e-09,0.0,1.0,1.0,-0.4349000000082468,1.8000000000168976,0.09999999744776226,5.277820671942564e-09,0.09999999744776226,5.277820671942564e-09,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.652000000000556,0.001,inbound,1,0,1,1,0,0,3.375237939231418e-05,1.6876189696157092e-09,3.375237939231418e-05,0.0,1.6876189696157092e-09,0.0,5.151793481203125e-06,5.151793481203125e-06,9.00737250976798e-05,0.4348000000115333,-2.3694808438029756e-11,-0.09999999671350024,-6.7973327879117e-09,-0.09999999671350024,-6.7973327879117e-09,0.0,1.0,1.0,-0.4348000000115333,1.8000000000236949,0.09999999671350024,6.7973327879117e-09,0.09999999671350024,6.7973327879117e-09,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.6530000000005565,0.001,inbound,1,0,1,1,0,0,3.8988295066336165e-05,1.9494147533168086e-09,3.8988295066336165e-05,0.0,1.9494147533168086e-09,0.0,5.418855261851738e-06,5.418855261851738e-06,9.008156680965805e-05,0.4347000000156678,-3.2247447559356576e-11,-0.09999999586549224,-8.55263912132682e-09,-0.09999999586549224,-8.55263912132682e-09,0.0,1.0,1.0,-0.4347000000156678,1.8000000000322476,0.09999999586549224,8.55263912132682e-09,0.09999999586549224,8.55263912132682e-09,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.654000000000557,0.001,inbound,1,0,1,1,0,0,4.446893726556267e-05,2.2234468632781336e-09,4.446893726556267e-05,0.0,2.2234468632781336e-09,0.0,5.673345644180763e-06,5.673345644180763e-06,9.008940808309824e-05,0.4346000000207693,-4.280222614448317e-11,-0.09999999489845889,-1.0554778585126594e-08,-0.09999999489845889,-1.0554778585126594e-08,0.0,1.0,1.0,-0.4346000000207693,1.8000000000428023,0.09999999489845889,1.0554778585126594e-08,0.09999999489845889,1.0554778585126594e-08,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.655000000000557,0.001,inbound,1,0,1,1,0,0,5.018360441123859e-05,2.50918022056193e-09,5.018360441123859e-05,0.0,2.50918022056193e-09,0.0,5.916886951193774e-06,5.916886951193774e-06,9.009724891750071e-05,0.434500000026962,-5.561653583035958e-11,-0.09999999380735643,-1.2814309685876408e-08,-0.09999999380735643,-1.2814309685876408e-08,0.0,1.0,1.0,-0.434500000026962,1.8000000000556167,0.09999999380735643,1.2814309685876408e-08,0.09999999380735643,1.2814309685876408e-08,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.6560000000005575,0.001,inbound,1,0,1,1,0,0,5.6122861518972944e-05,2.8061430759486477e-09,5.6122861518972944e-05,0.0,2.8061430759486477e-09,0.0,6.150779894006246e-06,6.150779894006246e-06,9.010508931225488e-05,0.4344000000343746,-7.095790330123927e-11,-0.09999999258734908,-1.5341367470879687e-08,-0.09999999258734908,-1.5341367470879687e-08,0.0,1.0,1.0,-0.4344000000343746,1.800000000070958,0.09999999258734908,1.5341367470879687e-08,0.09999999258734908,1.5341367470879687e-08,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.657000000000558,0.001,inbound,1,0,1,1,0,0,6.227830750250851e-05,3.1139153751254255e-09,6.227830750250851e-05,0.0,3.1139153751254255e-09,0.0,6.376086331154256e-06,6.376086331154256e-06,9.01129292666391e-05,0.43430000004314084,-8.910361331082776e-11,-0.09999999123378642,-1.8145710009588492e-08,-0.09999999123378642,-1.8145710009588492e-08,0.0,1.0,1.0,-0.43430000004314084,1.8000000000891037,0.09999999123378642,1.8145710009588492e-08,0.09999999123378642,1.8145710009588492e-08,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.658000000000558,0.001,inbound,1,0,1,1,0,0,6.864239827145124e-05,3.4321199135725626e-09,6.864239827145124e-05,0.0,3.4321199135725626e-09,0.0,6.593686507274569e-06,6.593686507274569e-06,9.012076878015374e-05,0.43420000005339865,-1.1034037022986984e-10,-0.09999998974218456,-2.123675691904208e-08,-0.09999998974218456,-2.123675691904208e-08,0.0,1.0,1.0,-0.43420000005339865,1.8000000001103404,0.09999998974218456,2.123675691904208e-08,0.09999998974218456,2.123675691904208e-08,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.6590000000005585,0.001,inbound,1,0,1,1,0,0,7.520830949639401e-05,3.7604154748197e-09,7.520830949639401e-05,0.0,3.7604154748197e-09,0.0,6.804319777513442e-06,6.804319777513442e-06,9.012860785202169e-05,0.4341000000652904,-1.3496399194746818e-10,-0.09999998810821045,-2.462362171759834e-08,-0.09999998810821045,-2.462362171759834e-08,0.0,1.0,1.0,-0.4341000000652904,1.800000000134964,0.09999998810821045,2.462362171759834e-08,0.09999998810821045,2.462362171759834e-08,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.660000000000559,0.001,inbound,1,0,1,1,0,0,8.196982842319234e-05,4.0984914211596176e-09,8.196982842319234e-05,0.0,4.0984914211596176e-09,0.0,7.008614292830967e-06,7.008614292830967e-06,9.013644648168782e-05,0.4340000000789628,-1.632791312610423e-10,-0.09999998632766846,-2.831513931357412e-08,-0.09999998632766846,-2.831513931357412e-08,0.0,1.0,1.0,-0.4340000000789628,1.8000000001632792,0.09999998632766846,2.831513931357412e-08,0.09999998632766846,2.831513931357412e-08,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.661000000000559,0.001,inbound,1,0,1,1,0,0,8.89212671159878e-05,4.446063355799391e-09,8.89212671159878e-05,0.0,4.446063355799391e-09,0.0,7.2071090970263184e-06,7.2071090970263184e-06,9.014428466848596e-05,0.4339000000945663,-1.9559902085365097e-10,-0.09999998439648888,-3.231988959260868e-08,-0.09999998439648888,-3.231988959260868e-08,0.0,1.0,1.0,-0.4339000000945663,1.8000000001955991,0.09999998439648888,3.231988959260868e-08,0.09999998439648888,3.231988959260868e-08,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.6620000000005595,0.001,inbound,1,0,1,1,0,0,9.605739208448649e-05,4.802869604224325e-09,9.605739208448649e-05,0.0,4.802869604224325e-09,0.0,7.400270879720312e-06,7.400270879720312e-06,9.015212241158347e-05,0.4338000001122556,-2.3224523869431075e-10,-0.09999998231071797,-3.6646217840659774e-08,-0.09999998231071797,-3.6646217840659774e-08,0.0,1.0,1.0,-0.4338000001122556,1.8000000002322454,0.09999998231071797,3.6646217840659774e-08,0.09999998231071797,3.6646217840659774e-08,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.66300000000056,0.001,inbound,1,0,1,1,0,0,0.00010337336638924222,5.1686683194621106e-09,0.00010337336638924222,0.0,5.1686683194621106e-09,0.0,7.588506884902434e-06,7.588506884902434e-06,9.01599597105918e-05,0.4337000001321891,-2.7354749125813627e-10,-0.09999998006650923,-4.130225256382554e-08,-0.09999998006650923,-4.130225256382554e-08,0.0,1.0,1.0,-0.4337000001321891,1.8000000002735477,0.09999998006650923,4.130225256382554e-08,0.09999998006650923,4.130225256382554e-08,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.66400000000056,0.001,inbound,1,0,1,1,0,0,0.00011086470167726015,5.543235083863008e-09,0.00011086470167726015,0.0,5.543235083863008e-09,0.0,7.772175001147587e-06,7.772175001147587e-06,9.016779656478927e-05,0.433600000154529,-3.1984341240973764e-10,-0.09999997766011583,-4.6295921151601366e-08,-0.09999997766011583,-4.6295921151601366e-08,0.0,1.0,1.0,-0.433600000154529,1.8000000003198435,0.09999997766011583,4.6295921151601366e-08,0.09999997766011583,4.6295921151601366e-08,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.6650000000005605,0.001,inbound,1,0,1,1,0,0,0.00011852721790971132,5.926360895485566e-09,0.00011852721790971132,0.0,5.926360895485566e-09,0.0,7.951591751126955e-06,7.951591751126955e-06,9.017563297356524e-05,0.4335000001794411,-3.714783761392352e-10,-0.09999997508788376,-5.1634963729497554e-08,-0.09999997508788376,-5.1634963729497554e-08,0.0,1.0,1.0,-0.4335000001794411,1.8000000003714784,0.09999997508788376,5.1634963729497554e-08,0.09999997508788376,5.1634963729497554e-08,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.666000000000561,0.001,inbound,1,0,1,1,0,0,0.00012635700934941763,6.317850467470882e-09,0.00012635700934941763,0.0,6.317850467470882e-09,0.0,8.127038691315836e-06,8.127038691315836e-06,9.01834689360316e-05,0.4334000002070949,-4.288053216217618e-10,-0.09999997234624589,-5.73269454825266e-08,-0.09999997234624589,-5.73269454825266e-08,0.0,1.0,1.0,-0.4334000002070949,1.8000000004288055,0.09999997234624589,5.73269454825266e-08,0.09999997234624589,5.73269454825266e-08,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.667000000000561,0.001,inbound,1,0,1,1,0,0,0.0001343504155867925,6.717520779339625e-09,0.0001343504155867925,0.0,6.717520779339625e-09,0.0,8.298767592403833e-06,8.298767592403833e-06,9.01913044517442e-05,0.4333000002376632,-4.92184589297898e-10,-0.0999999694317165,-6.337926767613617e-08,-0.0999999694317165,-6.337926767613617e-08,0.0,1.0,1.0,-0.4333000002376632,1.8000000004921848,0.0999999694317165,6.337926767613617e-08,0.0999999694317165,6.337926767613617e-08,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.6680000000005615,0.001,inbound,1,0,1,1,0,0,0.00014250399666021485,7.125199833010743e-09,0.00014250399666021485,0.0,7.125199833010743e-09,0.0,8.467004672665407e-06,8.467004672665407e-06,9.019913951998139e-05,0.43320000027132227,-5.61983766856602e-10,-0.09999996634088655,-6.979917755870403e-08,-0.09999996634088655,-6.979917755870403e-08,0.0,1.0,1.0,-0.43320000027132227,1.800000000561984,0.09999996634088655,6.979917755870403e-08,0.09999996634088655,6.979917755870403e-08,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
6.669000000000562,0.001,inbound,1,0,1,1,0,0,0.00015081451160960102,7.540725580480051e-09,0.00015081451160960102,0.0,7.540725580480051e-09,0.0,8.631954087869498e-06,8.631954087869498e-06,9.020697414024363e-05,0.43310000030825185,-6.385775441565791e-10,-0.09999996307041921,-7.659377729997713e-08,-0.09999996307041921,-7.659377729997713e-08,0.0,1.0,1.0,-0.43310000030825185,1.800000000638578,0.09999996307041921,7.659377729997713e-08,0.09999996307041921,7.659377729997713e-08,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
