P,t,iter,vx,vy,pen_factor,v_mag,vel_mag_in,imom,v_ang,imomx,imomy,cur_area,area_diff,vx_rel,vy_rel,v_rel,col_acc_x,col_acc_y,col_acc_mag
1,0.0870,29,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0900,30,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0930,31,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0960,32,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0990,33,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1020,34,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1050,35,-1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1080,36,-1.0000,-0.0000,0.0000,1.0000,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1110,37,-0.9999,-0.0000,0.0000,0.9999,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1140,38,-0.9996,-0.0000,0.0000,0.9996,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1170,39,-0.9993,-0.0000,0.0000,0.9993,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1200,40,-0.9988,-0.0000,0.0000,0.9988,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1230,41,-0.9981,-0.0000,0.0000,0.9981,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1260,42,-0.9972,-0.0000,0.0000,0.9972,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1290,43,-0.9961,-0.0000,0.0000,0.9961,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1320,44,-0.9948,-0.0000,0.0000,0.9948,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1350,45,-0.9933,-0.0000,0.0000,0.9933,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1380,46,-0.9915,-0.0000,0.0000,0.9915,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1410,47,-0.9895,-0.0000,0.0000,0.9895,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1440,48,-0.9873,-0.0000,0.0000,0.9873,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1470,49,-0.9848,-0.0000,0.0000,0.9848,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1500,50,-0.9820,-0.0000,0.0000,0.9820,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1530,51,-0.9789,-0.0000,0.0000,0.9789,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1560,52,-0.9756,-0.0000,0.0000,0.9756,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1590,53,-0.9720,-0.0000,0.0000,0.9720,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1620,54,-0.9681,-0.0000,0.0000,0.9681,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1650,55,-0.9639,-0.0000,0.0000,0.9639,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1680,56,-0.9594,-0.0000,0.0000,0.9594,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1710,57,-0.9546,-0.0000,0.0000,0.9546,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1740,58,-0.9496,-0.0000,0.0000,0.9496,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1770,59,-0.9443,-0.0000,0.0000,0.9443,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.1800,60,-0.9387,-0.0000,0.0000,0.9387,1.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
