P,t,iter,vx,vy,pen_factor,v_mag,vel_mag_in,v_coll,v_ang,ang_acc,ang_diff,imomx,imomy,imom,tot_area,cur_area,area_diff,vx_rel,vy_rel,v_rel,col_acc_x,col_acc_y,col_acc_mag,p_mom_x,p_mom_y,p_mom
0,0.0050,1,1.0000,0.0000,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0100,2,1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0150,3,1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0200,4,1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0250,5,1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0300,6,1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0350,7,1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0400,8,1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0450,9,1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0500,10,1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0550,11,1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0600,12,1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0650,13,1.0000,0.0000,0.00000000,1.00000000,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0700,14,0.9999,-0.0000,0.00000000,0.99992335,1.00000000,0.0000,6.2831,0.00000000,0.00000000,0.0000,0.0000,0.00007665,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0750,15,0.9992,-0.0004,0.00000000,0.99924445,1.00000000,0.0000,6.2827,0.00000000,0.00000000,0.0000,0.0000,0.00075555,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0800,16,0.9977,-0.0014,0.00000000,0.99767109,1.00000000,0.0000,6.2818,0.00000000,0.00000000,0.0000,0.0000,0.00232891,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0850,17,0.9950,-0.0031,0.00000000,0.99501143,0.99501143,0.0000,6.2801,0.00000000,0.00000000,0.0000,0.0000,0.00498857,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0900,18,0.9883,-0.0070,0.00000000,0.98829149,0.99501143,0.0000,6.2761,0.00000000,0.00000000,0.0000,0.0000,0.01170851,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0950,19,0.9804,-0.0109,0.00000000,0.98041606,0.99501143,0.0000,6.2721,0.00000000,0.00000000,0.0000,0.0000,0.01958394,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1000,20,0.9696,-0.0153,0.00000000,0.96969672,0.99501143,0.0000,6.2674,0.00000000,0.00000000,0.0000,0.0000,0.03030328,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1050,21,0.9557,-0.0203,0.00000000,0.95589393,0.99501143,0.0000,6.2620,0.00000000,0.00000000,0.0000,0.0000,0.04410607,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1100,22,0.9385,-0.0257,0.00000000,0.93885877,0.99501143,0.0000,6.2558,0.00000000,0.00000000,0.0000,0.0000,0.06114123,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1150,23,0.9180,-0.0315,0.00000000,0.91851432,0.99501143,0.0000,6.2489,0.00000000,0.00000000,0.0000,0.0000,0.08148568,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1200,24,0.8941,-0.0377,0.00000000,0.89484587,0.99501143,0.0000,6.2411,0.00000000,0.00000000,0.0000,0.0000,0.10515413,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1250,25,0.8668,-0.0442,0.00000000,0.86789438,0.99501143,0.0000,6.2322,0.00000000,0.00000000,0.0000,0.0000,0.13210562,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1300,26,0.8362,-0.0510,0.00000000,0.83775139,0.99501143,0.0000,6.2222,0.00000000,0.00000000,0.0000,0.0000,0.16224861,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1350,27,0.8025,-0.0581,0.00000000,0.80455461,0.99501143,0.0000,6.2109,0.00000000,0.00000000,0.0000,0.0000,0.19544539,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1400,28,0.7657,-0.0654,0.00000000,0.76848380,0.99501143,0.0000,6.1980,0.00000000,0.00000000,0.0000,0.0000,0.23151620,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1450,29,0.7261,-0.0729,0.00000000,0.72975702,0.99501143,0.0000,6.1832,0.00000000,0.00000000,0.0000,0.0000,0.27024298,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1500,30,0.6839,-0.0804,0.00000000,0.68862729,0.99501143,0.0000,6.1661,0.00000000,0.00000000,0.0000,0.0000,0.31137271,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1550,31,0.6393,-0.0881,0.00000000,0.64537997,0.99501143,0.0000,6.1463,0.00000000,0.00000000,0.0000,0.0000,0.35462003,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1600,32,0.5926,-0.0958,0.00000000,0.60033143,0.99501143,0.0000,6.1230,0.00000000,0.00000000,0.0000,0.0000,0.39966857,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1650,33,0.5441,-0.1034,0.00000000,0.55382979,0.99501143,0.0000,6.0954,0.00000000,0.00000000,0.0000,0.0000,0.44617021,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1700,34,0.4940,-0.1109,0.00000000,0.50625924,0.99501143,0.0000,6.0623,0.00000000,0.00000000,0.0000,0.0000,0.49374076,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1750,35,0.4425,-0.1183,0.00000000,0.45805033,0.99501143,0.0000,6.0220,0.00000000,0.00000000,0.0000,0.0000,0.54194967,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1800,36,0.3900,-0.1254,0.00000000,0.40970073,0.99501143,0.0000,5.9722,0.00000000,0.00000000,0.0000,0.0000,0.59029927,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1850,37,0.3368,-0.1322,0.00000000,0.36181428,0.99501143,0.0000,5.9092,0.00000000,0.00000000,0.0000,0.0000,0.63818572,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1900,38,0.2830,-0.1386,0.00000000,0.31517360,0.99501143,0.0000,5.8277,0.00000000,0.00000000,0.0000,0.0000,0.68482640,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.1950,39,0.2290,-0.1446,0.00000000,0.27087281,0.99501143,0.0000,5.7199,0.00000000,0.00000000,0.0000,0.0000,0.72912719,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.2000,40,0.1750,-0.1501,0.00000000,0.23055031,0.99501143,0.0000,5.5740,0.00000000,0.00000000,0.0000,0.0000,0.76944969,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
