pnum: 69.0, ptype:0.0,live frame:1698.0, x: 0.50, y: 2.60, z: 2.00
pnum: 70.0, ptype:0.0,live frame:1698.0, x: 0.50, y: 2.82, z: 2.00
pnum: 71.0, ptype:0.0,live frame:1698.0, x: 0.50, y: 3.04, z: 2.00
pnum: 72.0, ptype:0.0,live frame:1698.0, x: 0.50, y: 3.26, z: 2.00
pnum: 73.0, ptype:0.0,live frame:1909.0, x: 0.50, y: 1.72, z: 2.00
pnum: 74.0, ptype:0.0,live frame:1909.0, x: 0.50, y: 1.94, z: 2.00
pnum: 75.0, ptype:0.0,live frame:1909.0, x: 0.50, y: 2.16, z: 2.00
pnum: 76.0, ptype:0.0,live frame:1909.0, x: 0.50, y: 2.38, z: 2.00
pnum: 77.0, ptype:0.0,live frame:1909.0, x: 0.50, y: 2.60, z: 2.00
pnum: 78.0, ptype:0.0,live frame:1909.0, x: 0.50, y: 2.82, z: 2.00
pnum: 79.0, ptype:0.0,live frame:1909.0, x: 0.50, y: 3.04, z: 2.00
pnum: 80.0, ptype:0.0,live frame:1909.0, x: 0.50, y: 3.26, z: 2.00
pnum: 81.0, ptype:1.0,live frame:1.0, x: 1.00, y: 4.00, z: 2.00
pnum: 82.0, ptype:1.0,live frame:1.0, x: 2.00, y: 4.00, z: 2.00
pnum: 83.0, ptype:1.0,live frame:1.0, x: 3.00, y: 4.00, z: 2.00
pnum: 84.0, ptype:1.0,live frame:1.0, x: 4.00, y: 4.00, z: 2.00
pnum: 85.0, ptype:1.0,live frame:1.0, x: 1.00, y: 1.00, z: 2.00
pnum: 86.0, ptype:1.0,live frame:1.0, x: 2.00, y: 1.00, z: 2.00
pnum: 87.0, ptype:1.0,live frame:1.0, x: 3.00, y: 1.00, z: 2.00
pnum: 88.0, ptype:1.0,live frame:1.0, x: 4.00, y: 1.00, z: 2.00
pnum: 0.0, ptype:0.0,live frame:0.0, x: 0.00, y: 0.00, z: 0.00
